"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"validate that Clicking Portfolio button navigates to Not found page","650","validate that Clicking Portfolio button navigates to Not found page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P9DisappearingElementsTest","smokeTest","Tests.P9DisappearingElementsTest","validatePortfolioButtonNavigatesToNotFoundPage"
"validate That Every Table row contains delete and edit buttons","735","validate That Every Table row contains delete and edit buttons","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P5ChallengingDomTest","smokeTest","Tests.P5ChallengingDomTest","validateRowsContainsDeleteAndEditButtons"
"Verify longitude is displayed","506","Verify that longitude is displayed after clicking Where am I","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P23GeoLocationTest","smokeTest","Tests.P23GeoLocationTest","verifyLongitudeIsDisplayed"
"Verify Bottom nested frame content","953","Verify that the Bottom nested frame displays the correct text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P22FramesTest","smokeTest","Tests.P22FramesTest","verifyBottomFrameText"
"Validate that Typos function is clickable","319","Validate that Typos function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatTyposIsClickable"
"Validate Delete element functionality","574","Validate Delete element functionality","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P2AddRemoveTest","smokeTest","Tests.P2AddRemoveTest","validateDeleteElementFunctionality"
"Verify Logout button is displayed after successful login","1175","Verify that the Logout button is displayed after successful login","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P21FormAuthenticationTest","smokeTest","Tests.P21FormAuthenticationTest","verifyLogoutButtonIsDisplayed"
"Validate Deleting All Elements functionality","2472","Validate Deleting All Elements functionality","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P2AddRemoveTest","smokeTest","Tests.P2AddRemoveTest","validateDeleteALLElementsFunctionality"
"validate That Second Image exists with 90 height and 120 width","570","validate That Second Image exists with 90 height and 120 width","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P4BrokenImagesTest","smokeTest","Tests.P4BrokenImagesTest","validateSecondImageExistenceAndDimensions"
"validate That Context Menu Header is Context Menu","325","validate That Context Menu Header is Context Menu","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P7ContextMenuTest","smokeTest","Tests.P7ContextMenuTest","validateContextMenuHeader"
"Verify redirect link href","378","Verify that the redirect link points to the redirect endpoint","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P36RedirectLinkTest","smokeTest","Tests.P36RedirectLinkTest","verifyRedirectLinkHref"
"Validate Failed Login with empty username","423","Validate Failed login with empty username","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P3BasicAuthTest","smokeTest","Tests.P3BasicAuthTest","validateFailedLoginWithoutUsername"
"Verify Downloads submenu appears after hovering","2166","Verify that hovering over Downloads displays the file download options","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P28JQueryUiMenuTest","smokeTest","Tests.P28JQueryUiMenuTest","verifyDownloadsSubmenuAppearsOnHover"
"Verify login with invalid password","1183","Verify that login fails when an invalid password is entered","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P21FormAuthenticationTest","smokeTest","Tests.P21FormAuthenticationTest","verifyLoginWithInvalidPassword"
"Verify hoverable figures count","516","Verify that the Hovers page contains three hoverable figures","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P25HoversTest","smokeTest","Tests.P25HoversTest","verifyHoverableFiguresCount"
"Verify large table is displayed","657","Verify that the large table is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P32LargeDeepDomTest","smokeTest","Tests.P32LargeDeepDomTest","verifyLargeTableIsDisplayed"
"Verify new window header","689","Verify that the newly opened window displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P33MultipleWindowsTest","smokeTest","Tests.P33MultipleWindowsTest","verifyNewWindowHeader"
"Validate Delete element button text","519","Validate Delete element button text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P2AddRemoveTest","smokeTest","Tests.P2AddRemoveTest","validateDeleteElementButtonText"
"validate Failed login With empty password field","4872","validate Failed login With empty password field","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P8DigestAuthTest","smokeTest","Tests.P8DigestAuthTest","validateDigestAuthWithEmptyPassword"
"Verify Excel download link","2010","Verify that the Excel menu option contains the correct download link","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P28JQueryUiMenuTest","smokeTest","Tests.P28JQueryUiMenuTest","verifyExcelDownloadLink"
"Validate that Dynamic Loading function is clickable","302","Validate that Dynamic Loading function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatDynamicLoadingIsClickable"
"Validate that A/B testing function is clickable","428","validate That ABtesting Is Clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatABtestingIsClickable"
"validate That Challenging DOM Header is Challenging DOM","495","validate That Challenging DOM Header is Challenging DOM","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P5ChallengingDomTest","smokeTest","Tests.P5ChallengingDomTest","validateBrokenImagesHeader"
"Validate that Nested Frames function is clickable","599","Validate that Nested Frames function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatNestedFramesIsClickable"
"Validate that JavaScript onload event error function is clickable","317","Validate that JavaScript onload event error function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatJavaScriptOnloadEventErrorIsClickable"
"Validate that Redirect Link function is clickable","307","Validate that Redirect Link function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatRedirectLinkIsClickable"
"validate That Table contains header, 10 rows and 7 columns","626","validate That Table contains header, 10 rows and 7 columns","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P5ChallengingDomTest","smokeTest","Tests.P5ChallengingDomTest","validateTabelHeaderRowsColumns"
"Verify Bold formatting","1432","Verify that Bold formatting can be applied to editor text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P44WysiwygEditorTest","smokeTest","Tests.P44WysiwygEditorTest","verifyBoldFormatting"
"Verify Exit Intent modal can be closed","2263","Verify that the Exit Intent modal can be closed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P16ExitIntentTest","smokeTest","Tests.P16ExitIntentTest","verifyExitIntentModalCanBeClosed"
"validate Failed login With empty username field","5606","validate Failed login With empty username field","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P8DigestAuthTest","smokeTest","Tests.P8DigestAuthTest","validateDigestAuthWithEmptyUsername"
"Verify CSV download link","2120","Verify that the CSV menu option contains the correct download link","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P28JQueryUiMenuTest","smokeTest","Tests.P28JQueryUiMenuTest","verifyCsvDownloadLink"
"Verify File Download page header","404","Verify that the File Download page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P17FileDownloadTest","smokeTest","Tests.P17FileDownloadTest","verifyFileDownloadPageHeader"
"Verify Redirect Link page header","383","Verify that the Redirect Link page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P36RedirectLinkTest","smokeTest","Tests.P36RedirectLinkTest","verifyRedirectLinkPageHeader"
"validate the functionality of the input field and it's button enable and disable","7169","validate the functionality of the input field and it's button enable and disable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P13DynamicControlsTest","smokeTest","Tests.P13DynamicControlsTest","validateInputFieldAndButtonFunctionality"
"validate That First Image exists with 90 height and 120 width","548","validate That First Image exists with 90 height and 120 width","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P4BrokenImagesTest","smokeTest","Tests.P4BrokenImagesTest","validateFirstImageExistenceAndDimensions"
"Verify Sortable Data Tables page header","523","Verify that the Sortable Data Tables page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P41SortableDataTablesTest","smokeTest","Tests.P41SortableDataTablesTest","verifySortableDataTablesPageHeader"
"validate Drag and Drop Page containes two boxes, first is named 'A' ,Second is named 'B' ","516","validate Drag and Drop Page containes two boxes, first is named 'A' ,Second is named 'B' ","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P10DragAndDropTest","smokeTest","Tests.P10DragAndDropTest","validateDragAndDropBoxesCountAndTheirNames"
"Validate Add element button text","408","Validate Add element button text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P2AddRemoveTest","smokeTest","Tests.P2AddRemoveTest","validateAddElementButtonText"
"Verify Home menu item navigation","583","Verify that clicking Home updates the URL with the Home anchor","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P19FloatingMenuTest","smokeTest","Tests.P19FloatingMenuTest","verifyHomeMenuItemNavigation"
"Validate that Sortable Data Tables function is clickable","478","Validate that Sortable Data Tables function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatSortableDataTablesIsClickable"
"Verify Backspace key press","612","Verify that pressing Backspace displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P31KeyPressesTest","smokeTest","Tests.P31KeyPressesTest","verifyBackspaceKeyPress"
"validate That number of images is 3","503","validate That number of images is 3","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P4BrokenImagesTest","smokeTest","Tests.P4BrokenImagesTest","validateNumberOfImages"
"Verify successful login with valid credentials","1193","Verify that the user can login using valid credentials","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P21FormAuthenticationTest","smokeTest","Tests.P21FormAuthenticationTest","verifySuccessfulLogin"
"Validate that Digest Authentication function is clickable","359","Validate that Digest Authentication function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatDigestAuthenticationIsClickable"
"Verify Floating Menu contains the expected menu items","582","Verify that the Floating Menu contains Home, News, Contact and About","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P19FloatingMenuTest","smokeTest","Tests.P19FloatingMenuTest","verifyFloatingMenuItemsText"
"Verify Slow Resources page finishes loading","376","Verify that the Slow Resources page finishes loading successfully","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P40SlowResourcesTest","smokeTest","Tests.P40SlowResourcesTest","verifySlowResourcesPageFinishesLoading"
"Verify main menu items are displayed","721","Verify that Disabled and Enabled menu items are displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P28JQueryUiMenuTest","smokeTest","Tests.P28JQueryUiMenuTest","verifyMainMenuItemsAreDisplayed"
"validate That Page contains three buttons","467","validate That Page contains three buttons","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P5ChallengingDomTest","smokeTest","Tests.P5ChallengingDomTest","validatePageContainsThreeButtons"
"validate Drag and Drop Page Header text is Drag and Drop","375","validate Drag and Drop Page Header text is Drag and Drop","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P10DragAndDropTest","smokeTest","Tests.P10DragAndDropTest","validateDragAndDropHeaderText"
"Validate Failed Login with wrong username","421","Validate Failed login  with wrong username","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P3BasicAuthTest","smokeTest","Tests.P3BasicAuthTest","validateFailedLoginWithWrongUsername"
"Verify Slow Resources page header","386","Verify that the Slow Resources page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P40SlowResourcesTest","smokeTest","Tests.P40SlowResourcesTest","verifySlowResourcesPageHeader"
"Verify sortable data tables row counts","599","Verify that both sortable tables contain four data rows","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P41SortableDataTablesTest","smokeTest","Tests.P41SortableDataTablesTest","verifyTableRowsCount"
"validate the functionality of delete button in table","594","validate the functionality of delete button in table","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P5ChallengingDomTest","smokeTest","Tests.P5ChallengingDomTest","validateDeleteButtonFunctionality"
"Verify Typos paragraph opening text","388","Verify that the Typos paragraph contains the expected opening text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P43TyposTest","smokeTest","Tests.P43TyposTest","verifyTyposParagraphOpeningText"
"Verify Shifting Content page header","366","Verify that the Shifting Content page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P39ShiftingContentTest","smokeTest","Tests.P39ShiftingContentTest","verifyShiftingContentPageHeader"
"Verify Exit Intent page header","485","Verify that the Exit Intent page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P16ExitIntentTest","smokeTest","Tests.P16ExitIntentTest","verifyExitIntentPageHeader"
"validate That AB testing Header is A/B Test Variation 1","383","validate That AB testing Header is A/B Test Variation 1","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P1ABTest","smokeTest","Tests.P1ABTest","validateABtestingHeader"
"Verify letter key press","516","Verify that pressing a letter key displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P31KeyPressesTest","smokeTest","Tests.P31KeyPressesTest","verifyLetterKeyPress"
"Verify another notification can be generated","1883","Verify that clicking the link again generates another valid notification","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P35NotificationMessagesTest","smokeTest","Tests.P35NotificationMessagesTest","verifyAnotherNotificationCanBeGenerated"
"Verify secure downloadable files exist","922","Verify that downloadable files are available on the Secure File Download page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P37SecureFileDownloadTest","smokeTest","Tests.P37SecureFileDownloadTest","verifySecureDownloadFilesAreAvailable"
"Verify Shadow Root is available","363","Verify that Selenium can access the Shadow Root","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P38ShadowDomTest","smokeTest","Tests.P38ShadowDomTest","verifyShadowRootIsAvailable"
"Verify shifting content examples count","379","Verify that the Shifting Content page contains three examples","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P39ShiftingContentTest","smokeTest","Tests.P39ShiftingContentTest","verifyShiftingContentExamplesCount"
"Verify second user name","693","Verify that the second figure displays the correct user name on hover","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P25HoversTest","smokeTest","Tests.P25HoversTest","verifySecondUserName"
"Verify secure file can be downloaded","2161","Verify that a file can be downloaded from the Secure File Download page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P37SecureFileDownloadTest","smokeTest","Tests.P37SecureFileDownloadTest","verifySecureFileCanBeDownloaded"
"validate the status and functionality of second checkbox","522","validate the status and functionality of second checkbox","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P6CheckBoxesTest","smokeTest","Tests.P6CheckBoxesTest","validateSecondCheckBoxStatusAndFunctionality"
"validate that page contains a drop down list which contains three options","535","validate that page contains a drop down list which contains three options","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P11DropDownTest","smokeTest","Tests.P11DropDownTest","validateDropDownListExistAndContainsThreeOptions"
"validate that Gallery button appears and disappears randomly after refreshing page","2162","validate that Gallery button appears and disappears randomly after refreshing page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P9DisappearingElementsTest","smokeTest","Tests.P9DisappearingElementsTest","validateGalleryButtonAppearsAndDisappearsRandomly"
"Verify Exit Intent modal appears","2187","Verify that the Exit Intent modal appears when the mouse leaves toward the top of the page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P16ExitIntentTest","smokeTest","Tests.P16ExitIntentTest","verifyExitIntentModalAppears"
"Validate Failed Login with empty Fields","307","Validate Failed login with empty Fields","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P3BasicAuthTest","smokeTest","Tests.P3BasicAuthTest","validateFailedLoginWithEmptyFields"
"Validate that Key Presses function is clickable","327","Validate that Key Presses function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatKeyPressesIsClickable"
"Verify Horizontal Slider moves to the right","489","Verify that the Horizontal Slider value increases when moved to the right","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P24HorizontalSliderTest","smokeTest","Tests.P24HorizontalSliderTest","verifySliderMovesRight"
"Verify navigation to List example","639","Verify that clicking List opens the correct Shifting Content example","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P39ShiftingContentTest","smokeTest","Tests.P39ShiftingContentTest","verifyNavigationToListExample"
"Verify Arrow Up key press","491","Verify that pressing Arrow Up displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P31KeyPressesTest","smokeTest","Tests.P31KeyPressesTest","verifyArrowUpKeyPress"
"Verify login with invalid username","1140","Verify that login fails when an invalid username is entered","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P21FormAuthenticationTest","smokeTest","Tests.P21FormAuthenticationTest","verifyLoginWithInvalidUsername"
"Validate that Hovers function is clickable","451","Validate that Hovers function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatHoversIsClickable"
"Verify notification message text is not empty","1219","Verify that the displayed notification message contains text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P35NotificationMessagesTest","smokeTest","Tests.P35NotificationMessagesTest","verifyNotificationMessageIsNotEmpty"
"validate Failed login with wrong Password","4958","validate Failed login with wrong Password","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P8DigestAuthTest","smokeTest","Tests.P8DigestAuthTest","validateDigestAuthWrongPassword"
"validate the functionality of Edit button in table","592","validate the functionality of Edit button in table","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P5ChallengingDomTest","smokeTest","Tests.P5ChallengingDomTest","validateEditButtonFunctionality"
"validate Context Menu box will display an alert 'You selected a context menu' after right clicking it","451","validate Context Menu box will display an alert 'You selected a context menu' after right clicking it","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P7ContextMenuTest","smokeTest","Tests.P7ContextMenuTest","validateContextMenuBoxFunctionality"
"Verify Arrow Down key press","493","Verify that pressing Arrow Down displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P31KeyPressesTest","smokeTest","Tests.P31KeyPressesTest","verifyArrowDownKeyPress"
"Verify large table column count","413","Verify that the large table contains 50 columns","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P32LargeDeepDomTest","smokeTest","Tests.P32LargeDeepDomTest","verifyTableColumnsCount"
"Verify latitude and longitude are valid numbers","609","Verify that returned latitude and longitude values are valid numeric coordinates","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P23GeoLocationTest","smokeTest","Tests.P23GeoLocationTest","verifyGeoLocationCoordinatesAreValid"
"Verify Typos paragraph is displayed","447","Verify that the Typos page paragraph is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P43TyposTest","smokeTest","Tests.P43TyposTest","verifyTyposParagraphIsDisplayed"
"Verify table header","538","Verify that a table column header can be retrieved","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P32LargeDeepDomTest","smokeTest","Tests.P32LargeDeepDomTest","verifyTableHeader"
"Verify Click Here link is displayed","360","Verify that the Click Here link is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P33MultipleWindowsTest","smokeTest","Tests.P33MultipleWindowsTest","verifyClickHereLinkIsDisplayed"
"Verify Status Codes page header after redirect","804","Verify that the Status Codes page displays the correct header after redirect","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P36RedirectLinkTest","smokeTest","Tests.P36RedirectLinkTest","verifyStatusCodesPageHeaderAfterRedirect"
"Verify new window is opened","527","Verify that clicking the link opens a second browser window","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P33MultipleWindowsTest","smokeTest","Tests.P33MultipleWindowsTest","verifyNewWindowIsOpened"
"validate That images and paragraphs change after refresh","3690","validate That images and paragraphs change after refresh","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P12DynamicContentTest","smokeTest","Tests.P12DynamicContentTest","validateImagesAndParagraphsChangeAfterRefresh"
"Validate that Infinite Scroll function is clickable","421","Validate that Infinite Scroll function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatInfiniteScrollIsClickable"
"Verify downloadable file names","628","Verify that downloadable files have valid file names","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P17FileDownloadTest","smokeTest","Tests.P17FileDownloadTest","verifyDownloadFileNames"
"Validate that Drag And Drop function is clickable","320","Validate that Drag And Drop function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatDragAndDropIsClickable"
"Verify that the Entry Ad page displays the correct header","361","Verify that the Entry Ad page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P15EntryAdTest","smokeTest","Tests.P15EntryAdTest","verifyEntryAdPageHeader"
"Verify Horizontal Slider initial value","397","Verify that the Horizontal Slider starts with the correct initial value","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P24HorizontalSliderTest","smokeTest","Tests.P24HorizontalSliderTest","verifySliderInitialValue"
"Verify JavaScript Prompt accepts entered text","599","Verify that text can be entered and accepted in the JavaScript Prompt","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P29JavaScriptAlertsTest","smokeTest","Tests.P29JavaScriptAlertsTest","verifyJavaScriptPromptAcceptsEnteredText"
"Verify Hovers page header","510","Verify that the Hovers page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P25HoversTest","smokeTest","Tests.P25HoversTest","verifyHoversPageHeader"
"Verify first user profile link","665","Verify that the first user profile link points to the correct profile","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P25HoversTest","smokeTest","Tests.P25HoversTest","verifyFirstUserProfileLink"
"Validate that Dynamic Controls function is clickable","694","Validate that Dynamic Controls function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatDynamicControlsIsClickable"
"validate That after dragging second box and dropping it on first box , boxes names should be switched ","1130","validate That after dragging second box and dropping it on first box , boxes names should be switched  ","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P10DragAndDropTest","smokeTest","Tests.P10DragAndDropTest","validateDragAndDropSecondBoxToFirstBox"
"Validate that Shifting Content function is clickable","320","Validate that Shifting Content function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatShiftingContentIsClickable"
"Verify Shadow DOM host is displayed","354","Verify that the first Shadow DOM host is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P38ShadowDomTest","smokeTest","Tests.P38ShadowDomTest","verifyShadowDomHostIsDisplayed"
"Verify sortable data tables header counts","631","Verify that both sortable tables contain six columns","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P41SortableDataTablesTest","smokeTest","Tests.P41SortableDataTablesTest","verifyTableHeadersCount"
"validate Failed login with wrong Credentials","4955","validate Failed login with wrong Credentials","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P8DigestAuthTest","smokeTest","Tests.P8DigestAuthTest","validateDigestAuthWrongCredentials"
"Verify status code 301","703","Verify that status code 301 opens the correct page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P42StatusCodesTest","smokeTest","Tests.P42StatusCodesTest","verifyStatusCode301"
"Verify secure download files count","880","Verify that the Secure File Download page contains downloadable files","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P37SecureFileDownloadTest","smokeTest","Tests.P37SecureFileDownloadTest","verifySecureDownloadFilesCount"
"Verify Infinite Scroll page header","492","Verify that the Infinite Scroll page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P26InfiniteScrollTest","smokeTest","Tests.P26InfiniteScrollTest","verifyInfiniteScrollPageHeader"
"Validate that Challenging Dom function is clickable","399","Validate that Challenging Dom function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatChallengingDomIsClickable"
"Verify first user caption appears on hover","679","Verify that the first user caption appears after hovering over the first figure","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P25HoversTest","smokeTest","Tests.P25HoversTest","verifyFirstUserCaptionAppearsOnHover"
"Validate that Broken Images function is clickable","449","Validate that Broken Images function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatBrokenImagesIsClickable"
"Verify redirect to Status Codes page","806","Verify that clicking the redirect link navigates to the Status Codes page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P36RedirectLinkTest","smokeTest","Tests.P36RedirectLinkTest","verifyRedirectToStatusCodesPage"
"Verify first user name","682","Verify that the first figure displays the correct user name on hover","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P25HoversTest","smokeTest","Tests.P25HoversTest","verifyFirstUserName"
"Verify navigation to Image example","823","Verify that clicking Image opens the correct Shifting Content example","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P39ShiftingContentTest","smokeTest","Tests.P39ShiftingContentTest","verifyNavigationToImageExample"
"Validate that Floating Menu function is clickable","479","Validate that Floating Menu function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatFloatingMenuIsClickable"
"Verify Shadow DOM page header","378","Verify that the Shadow DOM page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P38ShadowDomTest","smokeTest","Tests.P38ShadowDomTest","verifyShadowDomPageHeader"
"Verify user can logout after successful login","1719","Verify that the user can successfully logout","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P21FormAuthenticationTest","smokeTest","Tests.P21FormAuthenticationTest","verifySuccessfulLogout"
"Validate that Slow Resources function is clickable","316","Validate that Slow Resources function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatSlowResourcesIsClickable"
"Validate that Add/Remove Elements function is clickable","353","validate That Add Remove Elements Is Clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatAddRemoveElementsIsClickable"
"validate the status and functionality of first checkbox","523","validate the status and functionality of first checkbox","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P6CheckBoxesTest","smokeTest","Tests.P6CheckBoxesTest","validateFirstCheckBoxStatusAndFunctionality"
"Verify Forgot Password page header","420","Verify that the Forgot Password page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P20ForgotPasswordTest","smokeTest","Tests.P20ForgotPasswordTest","verifyForgotPasswordPageHeader"
"Validate that File Download function is clickable","322","Validate that File Download function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatFileDownloadIsClickable"
